AR,BO,BR,CL,CO,EC,PY,PE,UY,VE
0.0,17.142857142857142,122.14285714285712,53.57142857142857,27.857142857142858,21.428571428571427,19.285714285714285,38.57142857142858,34.285714285714285,38.57142857142856
3.625592417061611,0.0,2.5325829383886256,1.9994075829383884,1.2796208530805686,1.6795023696682465,0.3732227488151658,1.5462085308056868,0.3732227488151659,2.3726303317535544
70.0,0.0,0.0,20.0,30.0,0.0,20.0,70.0,30.0,50.0
59.53846153846153,6.230769230769231,28.384615384615387,0.0,42.92307692307692,5.538461538461538,3.4615384615384612,22.153846153846157,4.153846153846154,47.76923076923077
50.0,10.0,63.0,12.0,0.0,22.0,12.0,13.0,6.0,72.0
19.81651376146789,6.8807339449541285,19.541284403669724,13.211009174311927,25.321100917431195,0.0,1.1009174311926606,12.110091743119266,3.5779816513761467,17.61467889908257
19.27007299270073,1.5328467153284675,20.145985401459857,5.693430656934305,4.817518248175182,2.18978102189781,0.0,3.0656934306569346,3.284671532846715,3.9416058394160585
16.452933151432468,5.402455661664392,13.015006821282402,11.541609822646658,13.751705320600275,7.6125511596180075,2.7012278308321966,0.0,2.946793997271487,22.592087312414733
29.47030497592295,1.73354735152488,20.2247191011236,10.690208667736757,7.512038523274476,2.31139646869984,4.044943820224719,4.911717495987158,0.0,8.667736757624397
14.160839160839162,15.734265734265733,18.566433566433567,10.384615384615385,42.7972027972028,21.083916083916083,2.832167832167832,13.531468531468533,2.517482517482517,0.0
