ISO 2,count,flux_num,flux_percentage
AL,1.0,2166.0,0.04616805170821791
AD,,2166.0,
AT,4.0,2166.0,0.18467220683287164
BY,3.0,2166.0,0.13850415512465375
BE,8.0,2166.0,0.3693444136657433
BA,6.0,2166.0,0.2770083102493075
BG,16.0,2166.0,0.7386888273314866
HR,4.0,2166.0,0.18467220683287164
CZ,4.0,2166.0,0.18467220683287164
DK,1.0,2166.0,0.04616805170821791
EE,2.0,2166.0,0.09233610341643582
FI,6.0,2166.0,0.2770083102493075
FR,81.0,2166.0,3.739612188365651
DE,14.0,2166.0,0.6463527239150507
VA,,2166.0,
HU,8.0,2166.0,0.3693444136657433
IS,,2166.0,
IE,8.0,2166.0,0.3693444136657433
IT,15.0,2166.0,0.6925207756232686
LV,5.0,2166.0,0.23084025854108958
LI,,2166.0,
LT,8.0,2166.0,0.3693444136657433
LU,,2166.0,
MK,1.0,2166.0,0.04616805170821791
MT,,2166.0,
MD,1266.0,2166.0,58.448753462603875
MC,,2166.0,
ME,2.0,2166.0,0.09233610341643582
NL,7.0,2166.0,0.32317636195752536
NO,7.0,2166.0,0.32317636195752536
PL,23.0,2166.0,1.0618651892890119
PT,,2166.0,
RO,67.0,2166.0,3.0932594644506
RU,117.0,2166.0,5.401662049861495
SM,,2166.0,
RS,14.0,2166.0,0.6463527239150507
SK,1.0,2166.0,0.04616805170821791
SI,4.0,2166.0,0.18467220683287164
ES,19.0,2166.0,0.8771929824561403
SE,14.0,2166.0,0.6463527239150507
CH,3.0,2166.0,0.13850415512465375
TR,7.0,2166.0,0.32317636195752536
UA,369.0,2166.0,17.03601108033241
GB,49.0,2166.0,2.2622345337026775
GR,2.0,2166.0,0.09233610341643582
