"AL","AD","AT","BY","BE","BA","BG","HR","CZ","DK","EE","FI","FR","DE","VA","HU","IS","IE","IT","LV","LI","LT","LU","MK","MT","MD","MC","ME","NL","NO","PL","PT","RO","RU","SM","RS","SK","SI","ES","SE","CH","TR","UA","GB","GR"
"menouno",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"menouno",2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,1,2,2,1,1,2,2,2,2,1,1,2,1,2,2,2,1,2,1,2,2,2,2
2,2,"menouno",2,1,2,2,2,2,1,2,2,2,1,2,2,1,1,2,2,1,2,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2
2,2,2,"menouno",2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,2,2,1,2,2,1,2,1,1,1,2,2,2,2,1,2,2
2,1,1,2,"menouno",2,2,2,2,1,2,2,1,1,1,2,1,1,1,2,1,2,1,2,1,1,1,2,1,1,2,1,1,2,1,2,2,2,1,1,1,2,2,1,2
2,2,2,1,2,"menouno",1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,2,2,1,2,2,1,2,1,1,1,2,2,2,2,1,2,2
2,2,2,1,2,1,"menouno",1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,2,2,1,2,2,1,2,1,1,1,2,2,2,2,1,2,2
2,2,2,1,2,1,1,"menouno",1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,2,2,1,2,2,1,2,1,1,1,2,2,2,2,1,2,2
2,2,2,1,2,1,1,1,"menouno",2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,2,2,1,2,2,1,2,1,1,1,2,2,2,2,1,2,2
2,2,1,2,1,2,2,2,2,"menouno",2,2,2,1,2,2,1,1,2,2,1,2,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2
2,2,2,2,2,2,2,2,2,2,"menouno",1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,1,"menouno",2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,1,2,2,1,2,2,2,2,2,2,2,"menouno",2,1,2,2,2,1,2,2,2,1,2,2,1,1,2,2,2,2,1,1,2,1,2,2,2,1,2,1,2,2,2,2
2,2,1,2,1,2,2,2,2,1,2,2,2,"menouno",2,2,1,1,2,2,1,2,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2
2,1,2,2,1,2,2,2,2,2,2,2,1,2,"menouno",2,2,2,1,2,2,2,1,2,2,1,1,2,2,2,2,1,1,2,1,2,2,2,1,2,1,2,2,2,2
2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,"menouno",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,1,2,1,2,2,2,2,1,2,2,2,1,2,2,"menouno",1,2,2,1,2,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2
2,2,1,2,1,2,2,2,2,1,2,2,2,1,2,2,1,"menouno",2,2,1,2,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2
2,1,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,"menouno",2,2,2,1,2,2,1,1,2,2,2,2,1,1,2,1,2,2,2,1,2,1,2,2,2,2
2,2,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,"menouno",2,1,2,1,2,2,2,1,2,2,1,2,2,1,2,1,1,1,2,2,2,2,1,2,2
2,2,1,2,1,2,2,2,2,1,2,2,2,1,2,2,1,1,2,2,"menouno",2,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2
2,2,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,"menouno",2,1,2,2,2,1,2,2,1,2,2,1,2,1,1,1,2,2,2,2,1,2,2
2,1,1,2,1,2,2,2,2,1,2,2,1,1,1,2,1,1,1,2,1,2,"menouno",2,1,1,1,2,1,1,2,1,1,2,1,2,2,2,1,1,1,2,2,1,2
2,2,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,"menouno",2,2,2,1,2,2,1,2,2,1,2,1,1,1,2,2,2,2,1,2,2
2,2,1,2,1,2,2,2,2,1,2,2,2,1,2,2,1,1,2,2,1,2,1,2,"menouno",2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2
2,1,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,1,2,2,"menouno",1,2,2,2,2,1,1,2,1,2,2,2,1,2,1,2,2,2,2
2,1,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,1,2,2,1,"menouno",2,2,2,2,1,1,2,1,2,2,2,1,2,1,2,2,2,2
2,2,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,"menouno",2,2,1,2,2,1,2,1,1,1,2,2,2,2,1,2,2
2,2,1,2,1,2,2,2,2,1,2,2,2,1,2,2,1,1,2,2,1,2,1,2,1,2,2,2,"menouno",1,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2
2,2,1,2,1,2,2,2,2,1,2,2,2,1,2,2,1,1,2,2,1,2,1,2,1,2,2,2,1,"menouno",2,2,2,2,2,2,2,2,2,1,1,2,2,1,2
2,2,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,2,2,"menouno",2,2,1,2,1,1,1,2,2,2,2,1,2,2
2,1,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,1,2,2,1,1,2,2,2,2,"menouno",1,2,1,2,2,2,1,2,1,2,2,2,2
2,1,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,1,2,2,1,1,2,2,2,2,1,"menouno",2,1,2,2,2,1,2,1,2,2,2,2
2,2,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,2,2,1,2,2,"menouno",2,1,1,1,2,2,2,2,1,2,2
2,1,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,1,2,2,1,1,2,2,2,2,1,1,2,"menouno",2,2,2,1,2,1,2,2,2,2
2,2,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,2,2,1,2,2,1,2,"menouno",1,1,2,2,2,2,1,2,2
2,2,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,2,2,1,2,2,1,2,1,"menouno",1,2,2,2,2,1,2,2
2,2,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,2,2,1,2,2,1,2,1,1,"menouno",2,2,2,2,1,2,2
2,1,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,1,2,2,1,1,2,2,2,2,1,1,2,1,2,2,2,"menouno",2,1,2,2,2,2
2,2,1,2,1,2,2,2,2,1,2,2,2,1,2,2,1,1,2,2,1,2,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,"menouno",1,2,2,1,2
2,1,1,2,1,2,2,2,2,1,2,2,1,1,1,2,1,1,1,2,1,2,1,2,1,1,1,2,1,1,2,1,1,2,1,2,2,2,1,1,"menouno",2,2,1,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"menouno",2,2,2
2,2,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,2,2,1,2,2,1,2,1,1,1,2,2,2,2,"menouno",2,2
2,2,1,2,1,2,2,2,2,1,2,2,2,1,2,2,1,1,2,2,1,2,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,"menouno",2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"menouno"
