,"AR","BO","BR","CL","CO","EC","PY","PE","UY","VE"
"AR",0,47601,36910,79253,5719,5645,61833,26854,33022,9374
"BO",423136,0,49289,128782,1129,1597,1092,28165,,1853
"BR",49267,28612,0,18976,4685,2774,79897,16458,14762,5680
"CL",215198,5268,19596,0,4732,11859,2283,17615,1536,14390
"CO",8723,3301,8700,173487,0,203470,,14182,,917753
"EC",963,1115,2195,42266,19180,0,,12795,,34858
"PY",685714,4772,49842,6045,,252,0,1034,1225,200
"PE",197226,12565,19074,240273,5680,14331,,0,106,44319
"UY",134043,565,30537,5652,662,1002,3168,1384,0,4519
"VE",176369,5707,248105,523553,1780486,388861,,941889,14908,0
