,country,outdegree,indegree,total degree
AL,AL,143.98755449732928,183.81125150609793,327.7988060034272
AZ,AZ,206.8343263392918,184.6823948781648,391.5167212174566
AR,AR,82.01192602743292,81.51412981482345,163.52605584225637
CA,CA,953.404196200553,563.007516461467,1516.41171266202
CO,CO,195.1361153429667,214.67461668789375,409.81073203086044
DC,DC,149.96110904864452,358.53772213207054,508.49883118071506
FL,FL,652.1130385185874,782.1622990628478,1434.275337581435
GA,GA,448.88773472071506,235.58205761749736,684.4697923382124
IL,IL,338.9992207871437,634.1923748646416,973.1915956517853
IN,IN,197.99844356547177,130.04926054426036,328.04770410973214
IA,IA,113.87088363444782,144.36090165678647,258.2317852912343
KS,KS,108.27067624258996,399.6059096723636,507.8765859149536
KY,KY,164.27275016117073,179.2066365394592,343.4793867006299
LA,LA,167.38397648998153,119.22219292000129,286.60616940998284
ME,ME,46.04614966638875,38.33030837093985,84.3764580373286
MD,MD,224.257193780629,126.44023800284064,350.69743178346965
MA,MA,210.9411450933207,160.9126257260561,371.8537708193768
MI,MI,226.37282768422054,257.9828871849298,484.35571486915035
MN,MN,157.92584845039838,133.7827321388323,291.7085805892307
MS,MS,82.13637508058551,88.48327679135795,170.61965187194346
MO,MO,178.08659506108765,116.6087628038009,294.69535786488854
MT,MT,36.21467446734903,25.387606843090044,61.60228131043907
NE,NE,73.42494135991734,82.13637508058541,155.56131644050276
NV,NV,183.6868024529455,105.0350008606274,288.7218033135729
NH,NH,41.81488185920711,25.760954002547255,67.57583586175437
NJ,NJ,318.465127016997,142.36971680634812,460.83484382334507
NM,NM,86.61654099407198,26.756546427766462,113.37308742183845
NY,NY,724.79128555959,937.5991664501984,1662.3904520097885
NC,NC,343.8527338600873,216.66580153833215,560.5185353984194
OH,OH,395.87243807779157,336.7591378304002,732.6315759081917
OK,OK,115.36427227227675,94.45683134267324,209.82110361495
OR,OR,148.3432713576634,174.22867441336297,322.5719457710264
PA,PA,346.7150620825931,321.3274552395022,668.0425173220954
RI,RI,32.85455003223424,25.51205589624243,58.36660592847667
SC,SC,249.39590251741413,76.78506579503217,326.1809683124463
SD,SD,32.97899908538659,22.774176726889593,55.75317581227618
TN,TN,263.5830945767875,226.74617484367684,490.32926942046436
TX,TX,736.240598449611,1238.6414260258593,1974.8820244754702
UT,UT,69.19367355273562,66.82914154283995,136.02281509557557
VT,VT,17.671765547641098,38.952553636701865,56.624319184342966
VA,VA,275.90355083887516,191.7759909078517,467.67954174672684
WV,WV,33.47679529799631,37.70806310517784,71.18485840317416
WI,WI,114.11978174075271,179.57998369891635,293.6997654396691
WY,WY,28.24993506559526,34.0990405637582,62.34897562935346
CT,CT,121.58672492989687,62.22452657620108,183.81125150609796
DE,DE,38.330308370939825,69.69146976534522,108.02177813628504
ID,ID,34.84573488267269,22.774176726889586,57.61991160956227
ND,ND,19.165154185469923,15.929478803507465,35.09463298897739
