"ADM0_A3","ISO 2"
"ALB","AL"
"AND","AD"
"AUT","AT"
"BLR","BY"
"BEL","BE"
"BIH","BA"
"BGR","BG"
"HRV","HR"
"CZE","CZ"
"DNK","DK"
"EST","EE"
"FIN","FI"
"FRA","FR"
"DEU","DE"
"VAT","VA"
"HUN","HU"
"ISL","IS"
"IRL","IE"
"ITA","IT"
"LVA","LV"
"LIE","LI"
"LTU","LT"
"LUX","LU"
"MKD","MK"
"MLT","MT"
"MDA","MD"
"MCO","MC"
"MNE","ME"
"NLD","NL"
"NOR","NO"
"POL","PL"
"PRT","PT"
"ROU","RO"
"RUS","RU"
"SMR","SM"
"SRB","RS"
"SVK","SK"
"SVN","SI"
"ESP","ES"
"SWE","SE"
"CHE","CH"
"TUR","TR"
"UKR","UA"
"GBR","GB"
"GRC","GR"
